0.0,0.99,1e-05,0.01,0.0
25704.0,0.94,1e-05,0.03,0.03
112608.0,0.7802,1e-05,0.038,0.18
146880.0,0.725,1e-05,0.035,0.24
244800.0,0.64,1e-05,0.03,0.33
275400.0,0.57,1e-05,0.03,0.4
357408.0,0.5,1e-05,0.025,0.475
397800.0,0.41700000000000004,1e-05,0.023,0.57
520200.0,0.322,1e-05,0.016,0.662
642600.0,0.267,1e-05,0.013000000000000001,0.72
663408.0,0.217,1e-05,0.013000000000000001,0.77
856800.0,0.16,1e-05,0.01,0.83
897192.0,0.11599999999999999,1e-05,0.008,0.8759999999999999
974304.0,0.1,1e-05,0.008,0.892
